Uniprot	Gene_name	Species
O00444	PLK4	Homo sapiens
O00506	STK25	Homo sapiens
O00750	PIK3C2B	Homo sapiens
O01427	air-2	Caenorhabditis elegans
O01510	smg-1	Caenorhabditis elegans
O01583	mrck-1	Caenorhabditis elegans
O01700	dlk-1	Caenorhabditis elegans
O01761	unc-89	Caenorhabditis elegans
O01775	nekl-2	Caenorhabditis elegans
O01798	spe-8	Caenorhabditis elegans
O01991	efk-1	Caenorhabditis elegans
O02697	PIK3CG	Sus scrofa
O02740	GUCY2F	Bos taurus
O02810	PI4KB	Bos taurus
O02811	PI4KA	Bos taurus
O02812	MAPK14	Canis lupus familiaris
O08561	Pi4kb	Rattus norvegicus
O08605	Mknk1	Mus musculus
O08644	Ephb6	Mus musculus
O08648	Map3k4	Mus musculus
O08662	Pi4ka	Rattus norvegicus
O08678	Mark1	Rattus norvegicus
O08679	Mark2	Rattus norvegicus
O08680	Epha3	Rattus norvegicus
O08775	Kdr	Rattus norvegicus
O08796	Eef2k	Mus musculus
O08815	Slk	Rattus norvegicus
O08874	Pkn2	Rattus norvegicus
O08875	Dclk1	Rattus norvegicus
O08901	Bub1	Mus musculus
O08911	Mapk12	Mus musculus
O09110	Map2k3	Mus musculus
O09127	Epha8	Mus musculus
O12990	jak1	Danio rerio
O13010	PIP4K2A	Sus scrofa
O13146	epha3	Danio rerio
O13147	ephb3	Danio rerio
O13148	epha4a	Danio rerio
O14578	CIT	Homo sapiens
O14730	RIOK3	Homo sapiens
O14733	MAP2K7	Homo sapiens
O14757	CHEK1	Homo sapiens
O14920	IKBKB	Homo sapiens
O14936	CASK	Homo sapiens
O14965	AURKA	Homo sapiens
O14976	GAK	Homo sapiens
O14986	PIP5K1B	Homo sapiens
O15021	MAST4	Homo sapiens
O15075	DCLK1	Homo sapiens
O15111	CHUK	Homo sapiens
O15146	MUSK	Homo sapiens
O15197	EPHB6	Homo sapiens
O15264	MAPK13	Homo sapiens
O15530	PDPK1	Homo sapiens
O16262	nipi-4	Caenorhabditis elegans
O16544	gcy-19	Caenorhabditis elegans
O16715	gcy-21	Caenorhabditis elegans
O18209	wee-1.3	Caenorhabditis elegans
O18735	ERBB2	Canis lupus familiaris
O19004	ARAF	Sus scrofa
O19064	JAK2	Sus scrofa
O19175	CSNK1A1	Sus scrofa
O19179	GUCY2D	Canis lupus familiaris
O35099	Map3k5	Mus musculus
O35280	Chek1	Mus musculus
O35346	Ptk2	Rattus norvegicus
O35491	Clk2	Mus musculus
O35492	Clk3	Mus musculus
O35493	Clk4	Mus musculus
O35495	Cdk14	Mus musculus
O35607	Bmpr2	Mus musculus
O35831	Cdk17	Rattus norvegicus
O35832	Cdk18	Rattus norvegicus
O35904	Pik3cd	Mus musculus
O35942	Nek2	Mus musculus
O42376	mapk12	Danio rerio
O42422	EPHA7	Gallus gallus
O43187	IRAK2	Homo sapiens
O43283	MAP3K13	Homo sapiens
O43293	DAPK3	Homo sapiens
O43318	MAP3K7	Homo sapiens
O43353	RIPK2	Homo sapiens
O43683	BUB1	Homo sapiens
O43781	DYRK3	Homo sapiens
O43930	PRKY	Homo sapiens
O43948	PK4	Plasmodium falciparum
O44408	kgb-1	Caenorhabditis elegans
O44514	pmk-3	Caenorhabditis elegans
O44959	riok-1	Caenorhabditis elegans
O44997	dapk-1	Caenorhabditis elegans
O45539	src-2	Caenorhabditis elegans
O45797	wts-1	Caenorhabditis elegans
O45818	dkf-2	Caenorhabditis elegans
O46680	TGFBR1	Bos taurus
O54748	Stk3	Rattus norvegicus
O54781	Srpk2	Mus musculus
O54783	Chkb	Rattus norvegicus
O54784	Dapk3	Mus musculus
O54785	Limk2	Mus musculus
O54804	Chka	Mus musculus
O54833	Csnk2a2	Mus musculus
O54863	Tssk2	Mus musculus
O54874	Cdc42bpa	Rattus norvegicus
O54949	Nlk	Mus musculus
O54967	Tnk2	Mus musculus
O54988	Slk	Mus musculus
O54992	Mapkapk5	Mus musculus
O55047	Tlk2	Mus musculus
O55098	Stk10	Mus musculus
O55099	Aurkb	Rattus norvegicus
O55173	Pdpk1	Rattus norvegicus
O55222	Ilk	Mus musculus
O55229	Chkb	Mus musculus
O60229	KALRN	Homo sapiens
O60285	NUAK1	Homo sapiens
O60307	MAST3	Homo sapiens
O60331	PIP5K1C	Homo sapiens
O60674	JAK2	Homo sapiens
O61122	svkA	Dictyostelium discoideum
O61125	krsA	Dictyostelium discoideum
O61267	lok	Drosophila melanogaster
O61443	p38b	Drosophila melanogaster
O61460	vab-1	Caenorhabditis elegans
O61661	grp	Drosophila melanogaster
O61847	cdk-2	Caenorhabditis elegans
O62026	gcy-29	Caenorhabditis elegans
O62179	gcy-20	Caenorhabditis elegans
O62305	unc-43	Caenorhabditis elegans
O62618	p38a	Drosophila melanogaster
O70126	Aurkb	Mus musculus
O70146	Tesk1	Mus musculus
O70150	Pnck	Rattus norvegicus
O70161	Pip5k1c	Mus musculus
O70167	Pik3c2g	Mus musculus
O70172	Pip4k2a	Mus musculus
O70173	Pik3c2g	Rattus norvegicus
O70291	Grk4	Mus musculus
O70293	Grk6	Mus musculus
O70405	Ulk1	Mus musculus
O70444	Pim3	Rattus norvegicus
O70551	Srpk1	Mus musculus
O70589	Cask	Mus musculus
O73791	tek	Danio rerio
O73792	tie1	Danio rerio
O73875	ephb4a	Danio rerio
O73878	ephb4b	Danio rerio
O75063	FAM20B	Homo sapiens
O75116	ROCK2	Homo sapiens
O75385	ULK1	Homo sapiens
O75460	ERN1	Homo sapiens
O75582	RPS6KA5	Homo sapiens
O75676	RPS6KA4	Homo sapiens
O75716	STK16	Homo sapiens
O75747	PIK3C2G	Homo sapiens
O75914	PAK3	Homo sapiens
O75962	TRIO	Homo sapiens
O76039	CDKL5	Homo sapiens
O76324	dco	Drosophila melanogaster
O76360	egl-4	Caenorhabditis elegans
O76411	scd-2	Caenorhabditis elegans
O88351	Ikbkb	Mus musculus
O88370	Pip4k2c	Rattus norvegicus
O88377	Pip4k2b	Rattus norvegicus
O88445	Aurkc	Mus musculus
O88506	Stk39	Rattus norvegicus
O88643	Pak1	Mus musculus
O88664	Taok1	Rattus norvegicus
O88697	Stk16	Mus musculus
O88763	Pik3c3	Rattus norvegicus
O88764	Dapk3	Rattus norvegicus
O88831	Camkk2	Rattus norvegicus
O88850	Hipk3	Rattus norvegicus
O88866	Hunk	Mus musculus
O88904	Hipk1	Mus musculus
O94768	STK17B	Homo sapiens
O94804	STK10	Homo sapiens
O94806	PRKD3	Homo sapiens
O94921	CDK14	Homo sapiens
O95382	MAP3K6	Homo sapiens
O95747	OXSR1	Homo sapiens
O95819	MAP4K4	Homo sapiens
O95835	LATS1	Homo sapiens
O96013	PAK4	Homo sapiens
O96017	CHEK2	Homo sapiens
O96838	fab1	Drosophila melanogaster
O97143	SAK	Drosophila melanogaster
O97799	KIT	Canis lupus familiaris
P00516	PRKG1	Bos taurus
P00517	PRKACA	Bos taurus
P00519	ABL1	Homo sapiens
P00520	Abl1	Mus musculus
P00522	Abl	Drosophila melanogaster
P00523	SRC	Gallus gallus
P00528	Src64B	Drosophila melanogaster
P00533	EGFR	Homo sapiens
P00536	Mos	Mus musculus
P00539	Mos	Rattus norvegicus
P00540	MOS	Homo sapiens
P03949	abl-1	Caenorhabditis elegans
P04049	RAF1	Homo sapiens
P04409	PRKCA	Bos taurus
P04412	Egfr	Drosophila melanogaster
P04626	ERBB2	Homo sapiens
P04627	Araf	Mus musculus
P04629	NTRK1	Homo sapiens
P05126	PRKCB	Bos taurus
P05128	PRKCG	Bos taurus
P05129	PRKCG	Homo sapiens
P05130	Pkc53E	Drosophila melanogaster
P05131	PRKACB	Bos taurus
P05132	Prkaca	Mus musculus
P05383	PRKACB	Sus scrofa
P05480	Src	Mus musculus
P05532	Kit	Mus musculus
P05622	Pdgfrb	Mus musculus
P05625	RAF1	Gallus gallus
P05696	Prkca	Rattus norvegicus
P05771	PRKCB	Homo sapiens
P06213	INSR	Homo sapiens
P06239	LCK	Homo sapiens
P06240	Lck	Mus musculus
P06241	FYN	Homo sapiens
P06493	CDK1	Homo sapiens
P06494	Erbb2	Rattus norvegicus
P06803	Pim1	Mus musculus
P07332	FES	Homo sapiens
P07333	CSF1R	Homo sapiens
P07934	Phkg1	Mus musculus
P07947	YES1	Homo sapiens
P07948	LYN	Homo sapiens
P07949	RET	Homo sapiens
P08069	IGF1R	Homo sapiens
P08103	Hck	Mus musculus
P08181	CkIIalpha	Drosophila melanogaster
P08413	Camk2b	Rattus norvegicus
P08414	Camk4	Mus musculus
P08581	MET	Homo sapiens
P08630	Btk	Drosophila melanogaster
P08631	HCK	Homo sapiens
P08922	ROS1	Homo sapiens
P08923	Ltk	Mus musculus
P08941	ROS1	Gallus gallus
P09208	InR	Drosophila melanogaster
P09215	Prkcd	Rattus norvegicus
P09216	Prkce	Rattus norvegicus
P09217	Prkcz	Rattus norvegicus
P09324	YES1	Gallus gallus
P09581	Csf1r	Mus musculus
P09619	PDGFRB	Homo sapiens
P09759	Ephb1	Rattus norvegicus
P09760	Fer	Rattus norvegicus
P09769	FGR	Homo sapiens
P0C0K7	Ephb6	Rattus norvegicus
P0C0R5	Pik3r4	Rattus norvegicus
P0C1S8	WEE2	Homo sapiens
P0C1X8	Aak1	Rattus norvegicus
P0C263	SBK2	Homo sapiens
P0C264	SBK3	Homo sapiens
P0C5K0	Sbk3	Mus musculus
P0C5K1	Sbk2	Mus musculus
P0C605	Prkg1	Mus musculus
P0C865	Mapk7	Rattus norvegicus
P0C8E4	Map3k7	Rattus norvegicus
P0CD62	DDB_G0286997	Dictyostelium discoideum
P0CD65	pan3	Dictyostelium discoideum
P0DV84	ALK	Canis lupus familiaris
P10398	ARAF	Homo sapiens
P10676	ninaC	Drosophila melanogaster
P10721	KIT	Homo sapiens
P10741	MOS	Gallus gallus
P11275	Camk2a	Rattus norvegicus
P11309	PIM1	Homo sapiens
P11345	Raf1	Rattus norvegicus
P11346	Raf	Drosophila melanogaster
P11362	FGFR1	Homo sapiens
P11440	Cdk1	Mus musculus
P11730	Camk2g	Rattus norvegicus
P11798	Camk2a	Mus musculus
P11799	Mylk	Gallus gallus
P11801	PSKH1	Homo sapiens
P11802	CDK4	Homo sapiens
P12370	Pka-C1	Drosophila melanogaster
P12931	SRC	Homo sapiens
P13234	Camk4	Rattus norvegicus
P13286	Phkg1	Rattus norvegicus
P13368	sev	Drosophila melanogaster
P13677	inaC	Drosophila melanogaster
P13678	Pkc98E	Drosophila melanogaster
P13863	CDK1	Gallus gallus
P14056	Araf	Rattus norvegicus
P14234	Fgr	Mus musculus
P14616	INSRR	Homo sapiens
P15056	BRAF	Homo sapiens
P15127	Insr	Rattus norvegicus
P15208	Insr	Mus musculus
P15209	Ntrk2	Mus musculus
P15735	PHKG2	Homo sapiens
P15791	Camk2d	Rattus norvegicus
P16054	Prkce	Mus musculus
P16056	Met	Mus musculus
P16066	NPR1	Homo sapiens
P16067	Npr2	Rattus norvegicus
P16092	Fgfr1	Mus musculus
P16234	PDGFRA	Homo sapiens
P16277	Blk	Mus musculus
P16591	FER	Homo sapiens
P16879	Fes	Mus musculus
P16911	Pka-C2	Drosophila melanogaster
P16912	Pka-C3	Drosophila melanogaster
P17105	Itpka	Rattus norvegicus
P17252	PRKCA	Homo sapiens
P17612	PRKACA	Homo sapiens
P17948	FLT1	Homo sapiens
P18106	FER	Drosophila melanogaster
P18160	splA	Dictyostelium discoideum
P18161	splB	Dictyostelium discoideum
P18265	Gsk3a	Rattus norvegicus
P18266	Gsk3b	Rattus norvegicus
P18293	Npr1	Mus musculus
P18334	kin-3	Caenorhabditis elegans
P18431	sgg	Drosophila melanogaster
P18460	FGFR3	Gallus gallus
P18461	FGFR2	Gallus gallus
P18475	tor	Drosophila melanogaster
P18652	RPS6KA	Gallus gallus
P18653	Rps6ka1	Mus musculus
P18654	Rps6ka3	Mus musculus
P18910	Npr1	Rattus norvegicus
P19139	Csnk2a1	Rattus norvegicus
P19525	EIF2AK2	Homo sapiens
P19784	CSNK2A2	Homo sapiens
P20427	CSNK2A2	Bos taurus
P20444	Prkca	Mus musculus
P20594	NPR2	Homo sapiens
P20689	Mylk2	Rattus norvegicus
P20786	Pdgfra	Rattus norvegicus
P20792	daf-1	Caenorhabditis elegans
P20793	Mak	Rattus norvegicus
P20794	MAK	Homo sapiens
P21127	CDK11B	Homo sapiens
P21137	kin-1	Caenorhabditis elegans
P21146	GRK2	Bos taurus
P21708	Mapk3	Rattus norvegicus
P21709	EPHA1	Homo sapiens
P21802	FGFR2	Homo sapiens
P21803	Fgfr2	Mus musculus
P21804	FGFR1	Gallus gallus
P21860	ERBB3	Homo sapiens
P21868	CSNK2A1	Gallus gallus
P21869	NA	Gallus gallus
P22455	FGFR4	Homo sapiens
P22518	Clk1	Mus musculus
P22607	FGFR3	Homo sapiens
P22612	PRKACG	Homo sapiens
P22694	PRKACB	Homo sapiens
P23298	Prkch	Mus musculus
P23443	RPS6KB1	Homo sapiens
P23458	JAK1	Homo sapiens
P23572	Cdk1	Drosophila melanogaster
P23573	Cdk2	Drosophila melanogaster
P23647	fu	Drosophila melanogaster
P23677	ITPKA	Homo sapiens
P23897	Gucy2c	Rattus norvegicus
P24062	Igf1r	Rattus norvegicus
P24348	let-23	Caenorhabditis elegans
P24604	Tec	Mus musculus
P24723	PRKCH	Homo sapiens
P24786	NTRK3	Sus scrofa
P24788	Cdk11b	Mus musculus
P24941	CDK2	Homo sapiens
P25092	GUCY2C	Homo sapiens
P25098	GRK2	Homo sapiens
P25323	mlkA	Dictyostelium discoideum
P25911	Lyn	Mus musculus
P26618	Pdgfra	Mus musculus
P26794	Pim1	Rattus norvegicus
P26817	Grk2	Rattus norvegicus
P26818	GRK3	Bos taurus
P26819	Grk3	Rattus norvegicus
P27037	ACVR2A	Homo sapiens
P27038	Acvr2a	Mus musculus
P27040	Acvr2b	Mus musculus
P27361	MAPK3	Homo sapiens
P27448	MARK3	Homo sapiens
P27704	Mapk6	Rattus norvegicus
P27791	Prkaca	Rattus norvegicus
P27987	ITPKB	Homo sapiens
P28028	Braf	Mus musculus
P28178	pkgB	Dictyostelium discoideum
P28327	GRK1	Bos taurus
P28482	MAPK1	Homo sapiens
P28652	Camk2b	Mus musculus
P28693	EPHB2	Gallus gallus
P28867	Prkcd	Mus musculus
P29317	EPHA2	Homo sapiens
P29318	EPHA3	Gallus gallus
P29319	Epha3	Mus musculus
P29320	EPHA3	Homo sapiens
P29321	Epha8	Rattus norvegicus
P29322	EPHA8	Homo sapiens
P29323	EPHB2	Homo sapiens
P29376	LTK	Homo sapiens
P29597	TYK2	Homo sapiens
P30285	Cdk4	Mus musculus
P30291	WEE1	Homo sapiens
P30530	AXL	Homo sapiens
P31152	MAPK4	Homo sapiens
P31325	Phkg2	Rattus norvegicus
P31749	AKT1	Homo sapiens
P31750	Akt1	Mus musculus
P31751	AKT2	Homo sapiens
P31938	Map2k1	Mus musculus
P32023	for	Drosophila melanogaster
P32298	GRK4	Homo sapiens
P32577	Csk	Rattus norvegicus
P32742	ikke-1	Caenorhabditis elegans
P32865	Gprk1	Drosophila melanogaster
P32866	Gprk2	Drosophila melanogaster
P32871	PIK3CA	Bos taurus
P33981	TTK	Homo sapiens
P34099	pkaC	Dictyostelium discoideum
P34100	pkaD	Dictyostelium discoideum
P34101	fhkC	Dictyostelium discoideum
P34102	pkgC	Dictyostelium discoideum
P34103	pkgD	Dictyostelium discoideum
P34112	cdk1	Dictyostelium discoideum
P34117	cdk5	Dictyostelium discoideum
P34152	Ptk2	Mus musculus
P34314	tlk-1	Caenorhabditis elegans
P34331	plk-1	Caenorhabditis elegans
P34516	K06H7.8	Caenorhabditis elegans
P34556	cdk-1	Caenorhabditis elegans
P34633	ZK507.1	Caenorhabditis elegans
P34635	ZK507.3	Caenorhabditis elegans
P34649	riok-3	Caenorhabditis elegans
P34653	panl-3	Caenorhabditis elegans
P34722	tpa-1	Caenorhabditis elegans
P34885	pkc-1	Caenorhabditis elegans
P34891	kin-15	Caenorhabditis elegans
P34892	kin-16	Caenorhabditis elegans
P34925	RYK	Homo sapiens
P34947	GRK5	Homo sapiens
P35426	Cdk4	Rattus norvegicus
P35465	Pak1	Rattus norvegicus
P35507	CSNK1B	Bos taurus
P35508	CSNK1D	Bos taurus
P35509	CSNK1G3	Bos taurus
P35546	Ret	Mus musculus
P35590	TIE1	Homo sapiens
P35626	GRK3	Homo sapiens
P35739	Ntrk1	Rattus norvegicus
P35761	Ttk	Mus musculus
P35790	CHKA	Homo sapiens
P35916	FLT4	Homo sapiens
P35917	Flt4	Mus musculus
P35918	Kdr	Mus musculus
P35968	KDR	Homo sapiens
P35969	Flt1	Mus musculus
P35991	Btk	Mus musculus
P36506	Map2k2	Rattus norvegicus
P36507	MAP2K2	Homo sapiens
P36887	PRKACA	Sus scrofa
P36888	FLT3	Homo sapiens
P36894	BMPR1A	Homo sapiens
P36895	Bmpr1a	Mus musculus
P36896	ACVR1B	Homo sapiens
P36897	TGFBR1	Homo sapiens
P36898	Bmpr1b	Mus musculus
P37023	ACVRL1	Homo sapiens
P37172	Acvr1	Mus musculus
P37173	TGFBR2	Homo sapiens
P38438	Tgfbr2	Rattus norvegicus
P38444	Acvr2a	Rattus norvegicus
P38445	Acvr2b	Rattus norvegicus
P39688	Fyn	Mus musculus
P39745	mpk-1	Caenorhabditis elegans
P39951	Cdk1	Rattus norvegicus
P40417	rl	Drosophila melanogaster
P41239	CSK	Gallus gallus
P41240	CSK	Homo sapiens
P41241	Csk	Mus musculus
P41242	Matk	Mus musculus
P41243	Matk	Rattus norvegicus
P41279	MAP3K8	Homo sapiens
P41743	PRKCI	Homo sapiens
P41949	D1044.1	Caenorhabditis elegans
P42168	kin-19	Caenorhabditis elegans
P42169	C03C10.2	Caenorhabditis elegans
P42335	Itpkb	Rattus norvegicus
P42336	PIK3CA	Homo sapiens
P42337	Pik3ca	Mus musculus
P42338	PIK3CB	Homo sapiens
P42345	MTOR	Homo sapiens
P42346	Mtor	Rattus norvegicus
P42356	PI4KA	Homo sapiens
P42525	erkA	Dictyostelium discoideum
P42527	mhkA	Dictyostelium discoideum
P42679	MATK	Homo sapiens
P42680	TEC	Homo sapiens
P42681	TXK	Homo sapiens
P42682	Txk	Mus musculus
P42683	LCK	Gallus gallus
P42684	ABL2	Homo sapiens
P42685	FRK	Homo sapiens
P43249	GRK5	Bos taurus
P43250	GRK6	Homo sapiens
P43403	ZAP70	Homo sapiens
P43404	Zap70	Mus musculus
P43405	SYK	Homo sapiens
P43481	KIT	Bos taurus
P45894	aak-1	Caenorhabditis elegans
P45983	MAPK8	Homo sapiens
P45984	MAPK9	Homo sapiens
P45985	MAP2K4	Homo sapiens
P46196	MAPK1	Bos taurus
P46197	NPR2	Bos taurus
P46549	kin-18	Caenorhabditis elegans
P46551	cdk-12	Caenorhabditis elegans
P46558	ckb-1	Caenorhabditis elegans
P46559	ckb-2	Caenorhabditis elegans
P46560	ckb-3	Caenorhabditis elegans
P46734	MAP2K3	Homo sapiens
P46892	Cdk11b	Rattus norvegicus
P47196	Akt1	Rattus norvegicus
P47197	Akt2	Rattus norvegicus
P47809	Map2k4	Mus musculus
P47810	Wee1	Mus musculus
P47811	Mapk14	Mus musculus
P48025	Syk	Mus musculus
P48426	PIP4K2A	Homo sapiens
P48609	Cdk5	Drosophila melanogaster
P48729	CSNK1A1	Homo sapiens
P48730	CSNK1D	Homo sapiens
P48734	CDK1	Bos taurus
P48736	PIK3CG	Homo sapiens
P49025	Cit	Mus musculus
P49071	MAPk-Ak2	Drosophila melanogaster
P49137	MAPKAPK2	Homo sapiens
P49138	Mapkapk2	Mus musculus
P49185	Mapk8	Rattus norvegicus
P49186	Mapk9	Rattus norvegicus
P49187	Mapk10	Rattus norvegicus
P49336	CDK8	Homo sapiens
P49615	Cdk5	Mus musculus
P49657	mnb	Drosophila melanogaster
P49674	CSNK1E	Homo sapiens
P49759	CLK1	Homo sapiens
P49760	CLK2	Homo sapiens
P49761	CLK3	Homo sapiens
P49762	Doa	Drosophila melanogaster
P49840	GSK3A	Homo sapiens
P49841	GSK3B	Homo sapiens
P50118	MOS	Sus scrofa
P50488	daf-4	Caenorhabditis elegans
P50545	Hck	Rattus norvegicus
P50613	CDK7	Homo sapiens
P50750	CDK9	Homo sapiens
P51136	gskA	Dictyostelium discoideum
P51451	BLK	Homo sapiens
P51617	IRAK1	Homo sapiens
P51812	RPS6KA3	Homo sapiens
P51813	BMX	Homo sapiens
P51817	PRKX	Homo sapiens
P51839	Gucy2d	Rattus norvegicus
P51840	Gucy2e	Rattus norvegicus
P51841	GUCY2F	Homo sapiens
P51842	Gucy2f	Rattus norvegicus
P51952	Cdk7	Rattus norvegicus
P51954	Nek1	Mus musculus
P51955	NEK2	Homo sapiens
P51956	NEK3	Homo sapiens
